,RESUMO,TEXTO
0,É #FAKE que vídeo mostre cantor Leo Chaves dando apoio a ato bolsonarista golpista em 2023,Vídeo foi feito em 2018 em apoio a greve dos caminhoneiros e não tem relação com o contexto atual. 
0,É #FAKE que vídeo mostre acidente de ônibus com 6 mortos na Linha Amarela em 2023,Vídeo mostra acidente ocorrido em 2015 no km 14 da Linha Amarela.
0,É #FAKE que imagens mostrem Raull Santiago em ato bolsonarista em Brasília,"Mensagens falsas relacionam a ele a identidade de golpistas que atuam nos atos de vandalismo no domingo. Mas ele estava no Complexo do Alemão, no Rio de Janeiro.  "
0,É #FAKE que vídeo mostre Putin dando apoio a atos de bolsonaristas golpistas em Brasília,Legendas falsas em português atribuem ao presidente russo frases que ele não disse.  Discurso em russo é sobre conflito entre a Rússia e a Ucrânia. Vídeo original foi gravado em 2022.
0,É #FAKE que apontada pela PF como organizadora do ataque a Brasília é infiltrada do PT,"Ela aparece em vídeos no acampamento golpista no Quartel-General do Exército, em Brasília, e atuou no planejamento das ações."
0,É #FAKE que publicitário em foto com Lula é homem apontado como comunista infiltrado em ato extremista golpista,"No momento em que ocorria o ataque em Brasília, ele estava em Araraquara, a mais de 780 quilômetros de distância. "
0,É #FAKE que Lula não foi eleito pelo povo brasileiro e que apuração dos votos não é confiável ,"Sistemas de votação passam por uma série de testes públicos, incluindo de integridade e de autenticidade, para garantir que não há divergência entre votos dados e votos registrados pelas urnas. Diversos organismos internacionais e nacionais atestam a confiabilidade das eleições brasileiras, que são utilizadas desde 1996 sem nenhuma fraude comprovada."
0,É #FAKE que vídeo mostre sobrinho de Zeca do PT em ato golpista,"O sobrinho de Zeca do PT, Marcelo Heitor,  fez um vídeo em que desmente a mensagem falsa."
0,"É #FAKE que três pessoas morreram em ginásio onde golpistas estão detidos pela PF, em Brasília","Nenhuma morte foi registrada no local, de acordo com a Polícia Federal. O Fato ou Fake já desmentiu que uma idosa morreu no ginásio para onde foram levados os bolsonaristas presos após os ataques de 8 de janeiro."
0,É #FAKE que crianças estejam sem comida e água em ginásio onde foram detidos golpistas em Brasília,"Em nota, a Polícia Federal afirmou que idosos, pessoas com problemas de saúde, em situação de rua e mães acompanhados de crianças foram liberados. PF também informa que 'todos estão recebendo alimentação regular, hidratação e atendimento médico, quando necessário'."
0,É #FAKE que idosa morreu em ginásio de golpistas presos em Brasília,Foto com mensagem falsa compartilhada nas redes é de banco de imagens. PF e interventor na segurança pública do DF negaram boato.
0,É #FAKE que vídeo mostre integrante do MST quebrando vidros nos ataques em Brasília,Vídeo que circula nas redes sociais já estava publicado na internet antes dos ataques ocorridos em 8 de janeiro. As paredes do prédio têm inscrições em chinês e a conta que publicou o vídeo é chinesa.
0,É #FAKE que texto viral anuncie tarifas de PIX para pessoas físicas ,"Consultado pelo Fato ou Fake, o Banco Central afirma que, ""como regra geral, as pessoas físicas são isentas de tarifas no Pix, seja para pagar, seja para receber"". "
0,É #FAKE que Caixa tenha lançado cartão que dá direito a picanha,Imagens falsas com as inscrições PicanhaCard e Picanha para Todos circulam em redes sociais. Caixa afirma que não possui contrato para emissão de cartões com esse tipo de benefício.
0,É #FAKE que fones com Bluetooth causaram choque elétrico mostrado em vídeo,"A energia elétrica não chegou até o homem por meio do sinal de Bluetooth como diz a mensagem falsa. Na verdade, ele foi atingido pela queda de um fio aéreo energizado sobre sua cabeça. O episódio ocorreu na Índia e foi relatado por jornais profissionais."
0,É #FAKE que mulher em foto viral na cozinha seja Janja,"Na verdade, a imagem retrata Adriana Souza Gagliardi. Ela afirma que fez a imagem na cozinha de sua casa em dezembro e postou em sua conta no Twitter, mas excluiu após verificar o uso indevido. "
0,É #FAKE que foto mostre Alexandre de Moraes com líderes de facção criminosa,"Na verdade, imagem que circula nas redes mostra o ministro do STF ao lado do ativista Raull Santiago, do fundador do Voz das Comunidades, René Silva, e do presidente da Central Única das Favelas (Cufa), Preto Zezé."
0,É #FAKE que Lula disse a frase 'nunca que ia ganhar a eleição' durante posse no Congresso,"A mensagem falsa atribui a Lula uma frase que ele não disse. Na verdade, o presidente claramente falou ""É, rapaz, nunca queira ganhar eleição"". "
0,É #FAKE que indígena bolsonarista morreu na prisão após sofrer parada cardíaca,Secretaria de Administração Penitenciária do Distrito Federal e a Secretaria de Saúde informam que Serere Xavante encontra-se em perfeitas condições de saúde.
0,É #FAKE que Lula foi impedido de entrar no Palácio da Alvorada e no avião presidencial,Presidência afirma que o presidente Luiz Inácio Lula da Silva tomou posse dia 1° de janeiro e está exercendo plenos poderes do cargo. Lula espera o término de uma varredura e de reformas para mudar para o Alvorada e despachar do Planalto. 
0,É #FAKE que militares tocam música de Beyoncé enquanto Lula passa tropas em revista,"O áudio foi inserido artificialmente ao vídeo original, em que militares tocaram uma outra música."
0,É #FAKE que livro assinado por Lula na posse não seja oficial,Senado desmente a alegação falsa e explica que Lula inaugura o terceiro livro de posse.
0,É #FAKE que Lula tenha usado faixa fraudada na posse,Adereço usado pelo presidente na cerimônia foi o mesmo adotado por ele ao assumir o cargo em 2003 e 2007.
0,"Fato ou Fake publica 1,2 mil checagens em 2022; veja as mais lidas","Serviço de monitoramento e checagem de conteúdo do Grupo Globo analisou falas de políticos, mensagens, fotos e vídeos ao longo do ano. Entre as que atraíram mais atenção estão as entrevistas dos presidenciáveis no JN, debates e vacinas de mRNA."
0,É #FAKE que homem que montou explosivo em Brasília é sindicalista ligado à esquerda,"George Washington de Oliveira Souza, que foi autuado por terrorismo, é apoiador de Jair Bolsonaro (PL)."
0,É #FAKE que MP Militar acatou pedido de prisão contra Alexandre de Moraes,O próprio Ministério Público Militar afirma que mensagem não procede e nem faz sentido processualmente. 
0,É #FAKE que site 'Veja seu voto' informe voto do eleitor e seja confiável ,Site alega que quebrou a criptografia de 473 mil urnas para usar dados de votos registrados. TSE e especialistas explicam que não há criptografia a ser quebrada para obter o voto de cada eleitor e que essa informação não existe nos arquivos gerados pela urna.
0,É #FAKE que Messi interrompeu entrevista para expulsar equipe da Globo,"Na verdade, Messi afirmou: ""Qué mirás, bobo? Andá para allá"". Ele se dirigia ao atacante holandês Wout Weghorst após o final da partida entre Holanda e Argentina pela Copa do Mundo, na sexta-feira (9). "
0,É #FAKE que foto de corintianos foi feita em meio a atos de vandalismo bolsonarista em 2022 no DF,Imagem é de 2017 e ilustra reportagem sobre torcedor que sobreviveu a linchamento em Curitiba.  
0,"É #FAKE que vídeo com grito de ""Fora, Bolsonaro"" foi gravado durante vandalismo de bolsonaristas em 2022 no DF","O vídeo não foi gravado durante os ataques realizados por radicais bolsonaristas no último dia 12 de dezembro.  Na verdade,  é antigo e está disponível desde 2020. "
0,É #FAKE que vídeo de gravação em hospital foi feito no Brasil para forjar aumento de casos de Covid,Imagens foram feitas por hospital israelense em 2020. Ministério da Saúde e entidades médicas alertaram no inicio de novembro de 2022 sobre o aumento de casos no país.
0,É #FAKE que cadastramento no programa Reserva Pró-Ativa do Exército seja para recrutar combatentes,O Exército esclarece que o cadastramento no programa serve para o recebimento de uma newsletter que trata de assuntos de interesse dos militares da reserva. 
0,É #FAKE que vídeo mostre encontro de ministros do STF com José Dirceu,"O homem com quem os ministros conversam não é o ex-ministro José Dirceu. Na verdade, é o CEO da Lide, Luiz Furlan. "
0,É #FAKE que foto de perna de Bolsonaro com erisipela tinha sido usada em campanha contra cigarro ,Imagem que ele publicou no Instagram não está entre as advertências sanitárias publicadas pela Anvisa. 
0,É #FAKE que STM publicou decreto que invalida eleições e mantém Bolsonaro no cargo,Superior Tribunal Militar esclarece que documento é falso. 
0,É #FAKE que g1 publicou reportagem dizendo que Lula vai criar guarda nacional,O g1 não publicou uma reportagem com esse título e conteúdo. A imagem é uma montagem e foi obtida por meio de uma manipulação fraudulenta. 
0,É #FAKE que medicamento da Pfizer contra Covid tem mesmo mecanismo de ação da ivermectina,"Antiviral não apresenta qualquer semelhança com a ivermectina (um antiparasitário), ou seja, são compostos com estruturas químicas e mecanismos de ação diferentes."
0,É #FAKE que Richarlison dedicou gols contra a Sérvia a Bolsonaro,"Assessoria do jogador esclarece que ele não deu declaração. Afirmação não é encontrada em entrevista, na mídia ou em suas redes sociais. "
0,É #FAKE que vídeo mostre ex-funcionário do TSE atacando urnas,Homem que aparece nas imagens nunca foi funcionário do TSE e TREs. Ele mesmo diz que não tem provas de fraude no sistema de votação.
0,É #FAKE que foto mostre Lula com cinco dedos na mão esquerda,"Imagem mostra, na verdade, mão direita do presidente eleito  e foi tirada quando ele era ainda noivo de Janja. "
0,É #FAKE que certidões do TRF-1 atestem inelegibilidade de Lula,"O Tribunal Regional Federal da 1ª Região esclarece que não há erro nas certidões mostradas no vídeo viral e que não atestou nem poderia atestar, em nenhuma certidão, a inelegibilidade do presidente eleito."
0,É #FAKE que vídeo de transporte de urnas em SP revele fraude e que dono de transportadora seja vereador do PT,Imagens mostram operação regular de retirada de urnas para descarte. Dono de transportadora e vereador esclarecem que não são a mesma pessoa.
0,É #FAKE que vídeo que mostra títulos de eleitor no lixo prove fraude no Ceará,"Papéis mostrados em vídeo são inválidos e estavam destinados ao descarte, afirma Tribunal Regional Eleitoral do Ceará."
0,"É #FAKE que conta de 9,4 mil euros em restaurante de Lisboa seja de Lula","Recibo tem data de 16 de novembro, quando presidente eleito estava no Egito. "
0,É #FAKE que mensagem de Bolsonaro para instruir mandado de injunção tenha relação com as eleições,A mensagem publicada no Diário Oficial não tem relação com as eleições. Significa apenas que Bolsonaro encaminhou ao STF informações sobre um processo de 2021 em que o autor cobra do governo o cumprimento da lei que instituiu a renda básica da cidadania.
0,É #FAKE que vídeo de motorista embriagada após acidente mostre chefe de redação da GloboNews,"A mulher que aparece no vídeo é a dentista Luciane Bacarini de Carvalho Moreira, de 54 anos. Ela estava em um carro de luxo quando atingiu outros dois veículos, na manhã de sexta-feira (18). O g1 publicou uma reportagem sobre o acidente."
0,É #FAKE vídeo sobre chegada ao Brasil de máscaras contaminadas com Covid-19,Live foi gravada em 2020. O próprio autor desmente as alegações e pede desculpas. 
0,É #FAKE que criminosos disseram 'aqui é PT' ao atirar em igreja,"No vídeo original que mostra o ataque, os criminosos não disseram as frases atribuídas a eles na mensagem falsa.  "
0,É #FAKE que g1 publicou reportagem em que diretor da Anvisa promove medicamento para próstata,O g1 não publicou reportagens com o título e conteúdo apresentados da mensagem falsa. A publicação é falsa e baseada em manipulação fraudulenta. Anvisa afirma que publicação é falsa e alerta que produto não deve ser utilizado.
0,É #FAKE que imagem mostre vão da Ponte Rio-Niterói após batida de navio,"Segundo a concessionária Ecoponte, a foto é de uma junta de dilatação e foi feita em 2014. Juntas de dilatação são espaços entre placas de concreto, que deixam a construção mais flexível em caso de dilatação devido ao calor."
0,É #FAKE capa de jornal que atribui a Lula a frase 'Vamos confiscar tudo',Jornal do Brasil não publicou capa com esse conteúdo. Lula não deu declarações atribuídas a ele na mensagem falsa. 
0,É #FAKE vídeo em que autor nega aumento de casos de Covid-19,"Ao contrário do que ele afirma, existe, sim, um aumento do número de casos Covid-19.  A Sociedade Brasileira de Infectologia emitiu um alerta para ""o aumento significativo do número de casos de Covid-19 no Brasil nas últimas semanas, decorrente da circulação da subvariante Ômicron BQ.1 e outras variantes."
0,É #FAKE vídeo em que Janones diz que Lula vai acabar com o Auxílio Brasil ,"Janones não se refere a Lula quando diz ""ele quer acabar com o auxílio para vingar de vocês"". Vídeo original mostra que, na verdade, ele está se referindo ao presidente Jair Bolsonaro. "
0,É #FAKE vídeo em que policiais rodoviários federais marcham e entoam gritos com críticas ao STF,"De acordo com a Polícia Rodoviária Federal (PRF) e com a Universidade Corporativa da Polícia Rodoviária Federal (UniPRF), o vídeo foi manipulado, pois o áudio é fake."
0,"É #FAKE que as Forças Armadas fizeram ação na CPTM, em SP, como parte de uma intervenção militar ","De acordo com CPTM, o vídeo que circula com informações falsas, na verdade, foi feito em 2018 durante um treinamento das Forças Armadas denominado Exercício Anhanguera, que tem como finalidade preparar recrutas para atividades de Garantia de Lei e da Ordem. "
0,"É #FAKE que seção 103 em Itacoatiara, AM, teve zero votos para Bolsonaro",O Tribunal Superior Eleitoral (TSE) esclarece que na seção 103 foram registrados 88 votos para Bolsonaro e 143 para Lula. 
0,É #FAKE que votos de milhares de eleitores em Miami não foram contabilizados,"Seção 3345 não aparece no E-Título porque foi agregada à seção 1346, que registra, sim, votos para os dois candidatos à presidência em 2022. O boletim de urna revela 452 votos para Bolsonaro e 80 para Lula."
0,"É #FAKE que 5,1 mihões de votos foram roubados de Bolsonaro",Publicação em inglês foi feita por empresário citado em dezenas de checagens que desmentiram alegações falsas. 
0,É #FAKE que Bolsonaro não recebeu nenhum voto em Manicoré (AM),"A cidade teve 8.056 votos a favor de Bolsonaro no segundo turno da eleição. Lula foi o candidato mais votado, com o apoio de 15.172 eleitores."
0,É #FAKE que urnas eletrônicas de modelos anteriores a 2020 não foram auditadas,"TSE faz auditorias nas urnas desde 2002, sem restrição de modelos. Equipamentos passam por dois testes, de integridade e de autenticidade, para garantir que não há divergência entre votos dados e votos registrados pelas urnas."
0,É #FAKE que imagem em que aparece Lady Gaga mostre conversa entre Bolsonaro e ministra sobre eleições,"A imagem que circula em redes sociais mostra, na verdade, a cantora Lady Gaga, nome artístico de Stefani Germanotta. "
0,É #FAKE que g1 publicou reportagem afirmando que Alckmin diz que taxação do Pix é necessária,"O g1 não publicou reportagem com esse título e conteúdo. A imagem é uma montagem realizada a partir de uma manipulação fraudulenta. Uma vez obtida a imagem, fraudadores passam a compartilhar em redes sociais. "
0,É #FAKE que homem roubou celular por achar que crime estaria liberado após eleição,Polícia Civil do Pará disse ao g1 que não consta no depoimento oficial que a motivação do crime teria sido o resultado das eleições presidenciais.
0,É #FAKE que vídeo mostre petistas saqueando loja da Havan após eleição,"Material é uma montagem de dois acontecimentos diferentes: uma destruição provocada por uma ventania numa loja da empresa, no interior de SP; e um ataque feito por um homem em farmácia do Rio de Janeiro. "
0,É #FAKE que fraude nas urnas é comprovada por seção de Confresa (MT) onde Lula teve 100% dos votos válidos,"Seção fica dentro da aldeia indígena Urubu Branco, que declarou apoio ao presidente eleito. Todos os 384 eleitores que votaram no local são indígenas. Aldeia afirma que está recebendo ataques após mensagens falsas."
0,É #FAKE que Ratinho criticou em vídeo bloqueios de rodovias por bolsonaristas contra resultado das eleições,"Vídeo no qual o apresentador critica manifestações após as eleições como 'coisa de imbecil' é de 2018, mas está circulando como se fosse deste ano. Caminhoneiros pró-Bolsonaro fecham rodovias federais desde o resultado do último domingo (30). "
0,É #FAKE que Torre Eiffel foi iluminada de verde e amarelo em homenagem à vitória de Lula ,"A foto usada na mensagem foi registrada em 2007, quando a Copa Mundial de Rugby foi sediada na França. A mesma imagem foi checada em 2021 quando mensagem falsa alegava que a Torre Eiffel e Empire State foram iluminados de verde e amarelo no 7 de Setembro em apoio a atos no Brasil."
0,É #FAKE que vídeo mostre Lula agradecendo ao chefe do tráfico por eleição,"Vídeo foi gravado durante encontro com representantes dos motoboys em SP. Marcola é o nome de um sociólogo, assessor de Lula, já mencionado em sua biografia. "
0,É #FAKE print de tuíte atribuído a Lula sobre mudança nas polícias e repressão a caminhoneiros,As imagens são falsas e foram montadas por meio de fraude. Busca avançada na conta verificada de Lula no Twitter releva que não há resultado para as expressões contidas nos prints falsos.
0,É #FAKE que média de percentuais de votos por região mostre Bolsonaro à frente de Lula,"A afirmação do autor do vídeo ao dizer que há dados incorretos é falsa, visto que os cálculos apresentados por ele estão errados. Cálculo não leva em consideração o número de votos em cada região e usa apenas os percentuais. Erro é demonstrado pelo professor universitário Conrad Elber Pinheiro, mestre em Estatística e autor do canal 'Professor Guru' no YouTube. "
0,É #FAKE que vídeo mostra tela do terminal do mesário com voto em Lula e Bolsonaro ao mesmo tempo,"Números mostrados em visor do terminal do mesário não são de votos para cada um dos candidatos. Eles apontam, na verdade, o número de eleitores que votaram, o total de eleitores,  os habilitados por código e os que têm biometria."
0,É #FAKE vídeo que diz que Barroso declara apoio a Bolsonaro,"O vídeo original foi gravado no dia 22 de abril de 2021.  Trechos que possuem críticas ao PT foram de fato retirados do voto do ministro, mas ele não cita nenhum dos dois candidatos à presidência. O vídeo traz diferentes momentos editados e condensados, sem ordem cronológica correta. "
0,É #FAKE que vídeo com homens de amarelo e vermelho em blitz tenha relação com o 2º turno,"O vídeo em questão não tem relação com as cerca de 560 operações realizadas neste domingo (30) pela Polícia Rodoviária Federal (PRF) contra ônibus de eleitores. Na verdade,  as imagens mostram uma abordagem policial em abril de 2022 a torcedores que estavam indo ao jogo da final da Copa do Nordeste, entre Fortaleza e Sport na capital cearense."
0,É #FAKE que operação da PF apreendeu R$ 985 milhões destinados à campanha de Lula,Montagem simula notícia do g1 com base em imagem de apreensão de drogas realizada pela FAB em agosto de 2021 e nome de repórter que não é da equipe do portal. 
0,É #FAKE vídeo que mostra Lula e Janja na campanha de fim de ano da Globo,Vídeo em que apoiadores do ex-presidente cantam jingle com a expressão 'Lula lá' foi adulterado com a música usada pela emissora em campanha para a chegada de 2018.
0,É #FAKE que g1 publicou reportagem em que Lula diz que educação de relacionamento homoafetivo nas escolas é prioridade,"Imagem forjada usa visual parecido com o do g1, mas o site não publicou nenhuma reportagem com esse título ou conteúdo."
0,É #FAKE que Lula usou ponto eletrônico em debate da Globo,"Trecho do debate que está circulando nas redes sociais mostra momento em que Lula reclama que não estava conseguindo ouvir. Comunicação da Globo afirma que o serviço de ponto ""não foi oferecido, solicitado ou sequer disponibilizado para nenhum dos candidatos""."
0,Veja o que é #FATO ou #FAKE nas falas dos presidenciáveis no debate da Globo do 2º turno,Lula (PT) e Jair Bolsonaro (PL) participaram nesta sexta-feira (28) do último encontro antes do segundo turno das eleições 2022.
0,"Corrupção, transposição do São Francisco e pobreza: veja os temas mais checados pelo Fato ou Fake nas falas de Lula e Bolsonaro","Durante o período eleitoral, o serviço de checagem do Grupo Globo analisou mais de 140 declarações dos candidatos em debates, entrevistas, horário eleitoral, eventos de campanha e redes sociais. "
0,Veja o que é #FATO ou #FAKE nas falas dos candidatos ao governo de SP no debate da Globo do 2º turno,Tarcísio de Freitas (Republicanos) e Fernando Haddad (PT) participaram nesta quinta-feira (27) do último encontro antes do segundo turno das eleições.
0,Veja o que é #FATO ou #FAKE nas declarações das candidatas ao governo de PE na última semana de campanha para o 2º turno,Frases foram ditas em entrevistas à TV Globo.
0,É #FAKE vídeo que atribui a Lula frase sobre nordestino analfabeto,"Publicação elimina parte da frase em que Lula atribui a declaração ao seu adversário,  Jair Bolsonaro que mencionou que o petista venceu o primeiro turno em nove dos dez estados com maior taxa de analfabetismo. "
0,É #FAKE que Heineken mudou rótulo para estrela verde e amarela com número 22,"A Heineken não produziu garrafas com o número 22 impresso sobre a estrela verde, detalhes em amarelo e a palavra Brasil gravada no gargalo.  A imagem que circula nas redes sociais é uma montagem.  Empresa diz que não apoia ou tem qualquer envolvimento com candidatos e partidos políticos. "
0,É #FAKE que Bolsonaro disse em entrevista que cortará 25% dos salários e pensões,"No vídeo original do qual o trecho apresentado na mensagem falsa foi extraído Bolsonaro não disse que vai cortar 25% dos salários e pensões. Ao mencionar a expressão, ele se referia a um projeto que não era do governo e que sequer saiu do papel. "
0,Fake news: entenda como funciona a fábrica de desinformação política no Brasil,Estudo do NetLab da Universidade Federal do Rio de Janeiro (UFRJ) aponta que desinformação é campanha permanente e tem estratégia sofisticada. Repetição faz com que mentiras se espalhem além das redes sociais.
0,É #FAKE que imagem mostre Gilmar Mendes com filho de Lula em restaurante de Roma,"As imagens não mostram o ministro Gilmar Mendes almoçando como filho do Lula. Na verdade, ele está em um jantar com pessoas que não têm nenhum parentesco com o candidato. "
0,É #FAKE que vídeo mostre MST bloqueando transposição do São Francisco,"O vídeo não mostra trabalhadores do MST bloqueando as águas de transposição do São Francisco.  Na verdade,  as cenas mostram homens que trabalham para melhorar a irrigação de lavouras e garantir o abastecimento de água em Santa Maria da Boa Vista, Pernambuco. "
0,É #FAKE que g1 publicou reportagem afirmando que Lula escolheu Jean Wyllys para o Ministério da Educação,"Imagem forjada tem a identidade visual do g1, incluindo a logomarca da empresa, mas nenhuma reportagem com esse título ou conteúdo foi publicada pelo portal."
0,É #FAKE que agente da PF atingida por Jefferson estava grávida,"Polícia Federal afirma que as informações veiculadas sobre uma possível gravidez da agente, assim como que ela teria perdido o filho no ataque, são falsas. Xuxa não postou tuíte com tal conteúdo. "
0,É #FAKE que vídeo mostre integrantes do MST explodindo embarcação,Vídeo foi gravado durante operação da PF e do Ibama contra mineradores ilegais. A polícia usa dinamites para explodir as dragas e assim torná-las inutilizáveis. 
0,É #FAKE que pergunta sobre quartos e banheiros no Censo é para orientar divisão de imóveis com sem-teto,IBGE desmente mensagens falsas com esse teor. Objetivo das perguntas é avaliar as condições de vida e acesso a saneamento e embasar políticas públicas em locais que precisam de melhorias. Dados individuais são sigilosos. 
0,Veja o que é #FATO ou #FAKE nas declarações dos candidatos ao governo de SP na 3ª semana de campanha do 2º turno,"Frases foram ditas em entrevistas, debates e sabatinas realizadas ao longo da semana. "
0,É #FAKE que TSE proibiu campanha sobre o Dia do Médico em 2022,"Conselho Federal de Medicina diz que suspendeu a divulgação do evento após saber de decisão da Justiça Eleitoral, que não teria autorizado pedido do Conselho Federal de Medicina Veterinária para realizar campanha no período eleitoral. TSE esclarece que não há essa decisão."
0,"É #FAKE foto de Casimiro com balões no formato do número 22, compartilhada por Flavio Bolsonaro","A imagem foi editada. A foto verdadeira está no perfil do Instagram de Casimiro, foi postada na sexta-feira (21), e os balões formam o número 29, idade do youtuber. À noite, senador pediu desculpas. "
0,É #FAKE imagem que mostra Lula e Eduardo Paes ao lado do traficante Celsinho da Vila Vintém,A imagem é uma montagem. A fraude usou como base uma foto real feita em 25 de setembro na qual quem aparece ao lado deles é o deputado estadual André Ceciliano (PT). O criminoso deixou a cadeia no último dia 19 após 20 anos preso. 
0,"É #FAKE que Lula chamou seus apoiadores de vagabundos, bandidos e traficantes","Vídeo que circula em redes sociais foi editado para fazer parecer que presidenciável fez a declaração. No vídeo original, gravado em 2017, ele diz precisamente o contrário. "
0,"É #FAKE áudio que fala em mutilação de crianças, 'purismo homossexual' e transexualidade como 'falha cognitiva'","""Nada do que esse áudio diz é realidade. Não é verdade nem cientificamente nem socialmente"", afirma a presidente do Conselho Regional de Psicologia do Rio Grande do Sul, Fabiane Machado. "
0,Veja o que é #FATO ou #FAKE nas declarações das candidatas ao governo de PE na 3ª semana de campanha para o 2º turno,Frases foram ditas em entrevistas à TV Globo e ao g1.
